Genre_id,Genre
45,Documentary
106,Thriller
93,Science fiction/Drama
63,Horror thriller
73,Mystery
0,Action
32,Comedy
56,Heist film/Thriller
72,Musical/Western/Fantasy
32,Comedy
45,Documentary
46,Drama
81,Romantic comedy
1,Action comedy
106,Thriller
45,Documentary
61,Horror anthology
75,Political thriller
32,Comedy
63,Horror thriller
45,Documentary
106,Thriller
32,Comedy
106,Thriller
101,Superhero-Comedy
106,Thriller
81,Romantic comedy
32,Comedy
32,Comedy
32,Comedy
45,Documentary
60,Horror
80,Romance drama
32,Comedy
60,Horror
32,Comedy
45,Documentary
46,Drama
93,Science fiction/Drama
0,Action
21,Anime / Short
46,Drama
100,Superhero
106,Thriller
55,Heist
106,Thriller
60,Horror
32,Comedy
32,Comedy
113,Western
0,Action
20,Animation/Superhero
51,Family film
46,Drama
32,Comedy
4,Action-thriller
46,Drama
106,Thriller
81,Romantic comedy
60,Horror
106,Thriller
1,Action comedy
105,Teen comedy-drama
84,Romantic drama
12,Animation
32,Comedy
10,Aftershow / Interview
81,Romantic comedy
30,Christmas musical
32,Comedy
46,Drama
60,Horror
32,Comedy
32,Comedy
32,Comedy
32,Comedy
90,Science fiction adventure
32,Comedy
89,Science fiction
109,Variety show
45,Documentary
36,Comedy-drama
46,Drama
32,Comedy
81,Romantic comedy
32,Comedy
106,Thriller
46,Drama
106,Thriller
106,Thriller
60,Horror
81,Romantic comedy
46,Drama
46,Drama
37,Comedy/Fantasy/Family
81,Romantic comedy
32,Comedy
46,Drama
103,Supernatural drama
5,Action/Comedy
106,Thriller
60,Horror
46,Drama
32,Comedy
6,Action/Science fiction
81,Romantic comedy
86,Romantic teenage drama
33,Comedy / Musical
69,Musical
106,Thriller
32,Comedy
45,Documentary
32,Comedy
109,Variety show
81,Romantic comedy
94,Science fiction/Mystery
41,Crime drama
106,Thriller
78,Psychological thriller drama
32,Comedy
89,Science fiction
81,Romantic comedy
9,Adventure/Comedy
27,Black comedy
32,Comedy
32,Comedy
27,Black comedy
32,Comedy
36,Comedy-drama
81,Romantic comedy
106,Thriller
